Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,18,1,2021,18,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,174,All,85.95,102.9,114.85,123.80000000000001,133,141,149.64999999999998,156.60000000000002,166,174,182.45000000000005,193,202,213,225,242,257,284,319.04999999999995
LSHTM,18,1,2021,19,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,146,All,79.95,90,98,107,115,121,128,134,141,146,154.45000000000005,161,169,176.29999999999995,186,196,211.14999999999998,225,254.04999999999995
LSHTM,18,1,2021,20,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,148.5,All,75.9,86.9,98,106,114,121,128.64999999999998,134,141,148.5,154,161,168.35000000000002,177,186,197,211.14999999999998,229.10000000000002,263
LSHTM,18,1,2021,21,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,134,All,64,77,86.85,95,101,109,115,122,129,134,141,148,156,162,169,179,192,207,239.04999999999995
LSHTM,18,1,2021,22,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,151.5,All,76,93,101,107,115,123.69999999999999,131,137,143,151.5,158,166,174,182,192,202,214.14999999999998,233.10000000000002,272.0999999999999
LSHTM,18,1,2021,23,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,154,All,79,95.9,104.85,115,121,128,134,141,147.55,154,161,167,175.35000000000002,186,196,204.20000000000005,219,238,274.04999999999995
LSHTM,18,1,2021,24,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,147,All,73,88,98.85,106,113,121,127,133.60000000000002,140.55,147,154,160,171,180,191.25,201,214,236,269
LSHTM,18,1,2021,25,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,164,All,77.95,98.9,109,119.80000000000001,129,134.7,142,150.60000000000002,157,164,173,181,189,198.29999999999995,212,224.20000000000005,240,262.1,303.04999999999995
LSHTM,18,1,2021,26,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,143,All,74,86,96,106,113,119,125,131,136.55,143,148,155,162,171,182,192.20000000000005,207,226.10000000000002,261
LSHTM,18,1,2021,27,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,138,All,69.95,83,93,99.80000000000001,106.75,113,120,125,131,138,144,151,159,165,174.25,185,197,214.10000000000002,252
LSHTM,18,1,2021,28,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,123,All,58,74,83,89,97,101,106,111,118,123,129,134.39999999999998,141,150,158.25,170,183.29999999999995,197,224.04999999999995
LSHTM,18,1,2021,29,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,136,All,62,76.9,87,94,103,109,116,122,128.55,136,144,152,160,168,180,189.20000000000005,207.14999999999998,227,261
LSHTM,18,1,2021,30,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,140,All,64.9,77,86.85,95,101,108,115.64999999999998,126,133,140,146,153,162,171,182,195,211,238,269
LSHTM,18,1,2021,31,1,2021,East of England,type28_death_inc_line,EpiNow,MTP,Cases,2.0,135,All,67,79,89,96,103,109,116,123,129,135,143,150,158,166,174,185.20000000000005,201,218,248.04999999999995
