Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,2,3,2021,2,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,50,All,34,37,40,41,43,45,46,47,48,50,51,53,54,56,58,60,62,65,70
LSHTM,2,3,2021,3,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,45,All,29.95,33,35,37,38,40,42,43,44,45,47,48,50,51,53,55,57,61,65
LSHTM,2,3,2021,4,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,40,All,25,28,30,31,33,34,36,37,38,40,41,42,44,45,47,49,51,54,59
LSHTM,2,3,2021,5,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,34,All,20,23,25,26,28,29,30,32,33,34,35,36,37,39,41,43,45,48,53
LSHTM,2,3,2021,6,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,33,All,19,21,24,25,27,28,29,31,32,33,34,36,37,39,41,43,45,48,53
LSHTM,2,3,2021,7,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,33,All,18,21,23,25,26,28,29,31,32,33,35,36,37,39,41,43,45,48,54
LSHTM,2,3,2021,8,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,32,All,17,20,22,24,25,27,28,29,31,32,34,35,37,39,41,43,46,50,55
LSHTM,2,3,2021,9,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,29,All,15,17,19,21,23,24,25,27,28,29,31,32,34,36,38,40,43,47,52
LSHTM,2,3,2021,10,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,27,All,12,15,17,18,20,21,22,24,25,27,28,30,31,33,35,37,39,43,49
LSHTM,2,3,2021,11,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,23,All,10,12,14,15,17,18,19,21,22,23,24,26,27,29,31,33,36,39,45.0499999999997
LSHTM,2,3,2021,12,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,20,All,8,10,12,13,14,15,17,18,19,20,21,22,24,25,27,29,31,35,40
LSHTM,2,3,2021,13,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,19,All,7,9,11,12,14,15,16,17,18,19,21,22,24,25,27,29,31,35,41
LSHTM,2,3,2021,14,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,19,All,7,9,10,12,13,15,16,17,18,19,20,22,23,25,27,29,32,36,43
LSHTM,2,3,2021,15,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,19,All,6,8,10,11,12,14,15,16,17,19,20,22,23,25,27,29,32,36,43
LSHTM,2,3,2021,16,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,17,All,5,7,9,10,11,12,13.6499999999999,15,16,17,18,20,21,23,25,27,30,34,41
LSHTM,2,3,2021,17,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,16,All,4,6,7,9,10,11,12,13,14,16,17,18,19,21,23,25,28,32,39
LSHTM,2,3,2021,18,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,13,All,3,5,6,7,8,9,10,11,12,13,14,16,17,18,20,22,25,29,36
LSHTM,2,3,2021,19,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,11,All,3,4,5,6,7,8,9,10,11,11,12,13,15,16,18,19,22,26,32
LSHTM,2,3,2021,20,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,11,All,2,4,5,6,7,7,8,9,10,11,12,13,14,16,17.25,20,22,26,33
LSHTM,2,3,2021,21,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,11,All,2,4,5,6,6,7,8,9,10,11,12,13,15,16,18,20,23,27,34
LSHTM,2,3,2021,22,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,11,All,2,3,4,5,6,7,8,9,10,11,12,13,15,16,18,20,22,26,34
LSHTM,2,3,2021,23,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,10,All,2,3,4,5,5,6,7,8,9,10,11,12,13,15,16,18,21,25,31
LSHTM,2,3,2021,24,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,9,All,1,2,3,4,5,6,6,7,8,9,10,11,12,14,15,17,19,23,30
LSHTM,2,3,2021,25,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,8,All,1,2,3,3,4,5,6,6,7,8,9,10,11,12,13,15,17,21,28
LSHTM,2,3,2021,26,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,7,All,1,1,2,3,3,4,5,5,6,7,7,8,9,11,12,13,15,19,25
LSHTM,2,3,2021,27,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,6,All,1,1,2,3,3,4,4,5,6,6,7,8,9,10,12,13,16,19,25
LSHTM,2,3,2021,28,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,6,All,1,1,2,2,3,4,4,5,6,6,7,8,9,10,12,14,16,20,27
LSHTM,2,3,2021,29,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,6,All,0,1,2,2,3,4,4,5,6,6,7,8,9,10,12,13,16,20,27
LSHTM,2,3,2021,30,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,6,All,0,1,1,2,3,3,4,4,5,6,7,7,9,10,11,13,15,19,26
LSHTM,2,3,2021,31,3,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,5,All,0,1,1,2,2,3,3,4,4,5,6,7,7,9,10,12,14,17,24.0499999999997
LSHTM,2,3,2021,1,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,5,All,0,1,1,1,2,2,3,3,4,5,5,6,7,8,9,10,12,16,22
LSHTM,2,3,2021,2,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,4,All,0,0,1,1,1,2,2,3,3,4,4,5,6,7,8,9,11,14,20
LSHTM,2,3,2021,3,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,4,All,0,0,1,1,1,2,2,3,3,4,4,5,6,7,8,9,11,15,20
LSHTM,2,3,2021,4,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,4,All,0,0,1,1,1,2,2,3,3,4,4,5,6,7,8,9,11,15,22
LSHTM,2,3,2021,5,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,4,All,0,0,1,1,1,2,2,3,3,4,4,5,6,7,8,10,12,15,21
LSHTM,2,3,2021,6,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,3,All,0,0,0,1,1,1,2,2,3,3,4,4,5,6,7,8,10,13,20
LSHTM,2,3,2021,7,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,3,All,0,0,0,1,1,1,2,2,2,3,3,4,5,6,7,8,10,13,19
LSHTM,2,3,2021,8,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,3,All,0,0,0,1,1,1,1,2,2,3,3,4,4,5,6,7,9,12,18
LSHTM,2,3,2021,9,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,2,All,0,0,0,0,1,1,1,2,2,2,3,3,4,4,5,6,8,10,16
LSHTM,2,3,2021,10,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,2,All,0,0,0,0,1,1,1,1,2,2,3,3,4,4,5,6,8,11,16
LSHTM,2,3,2021,11,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,2,All,0,0,0,0,1,1,1,1,2,2,3,3,4,4,5,6,8,11,17
LSHTM,2,3,2021,12,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,2,All,0,0,0,0,0,1,1,1,2,2,2,3,4,4,5,6,8,11,17
LSHTM,2,3,2021,13,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,2,All,0,0,0,0,0,1,1,1,1,2,2,3,3,4,5,6,8,10,16
LSHTM,2,3,2021,14,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,2,All,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4.25,5,7,10,15
LSHTM,2,3,2021,15,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,1,All,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,5,7,9,14
LSHTM,2,3,2021,16,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,1,All,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,4,6,8,12
LSHTM,2,3,2021,17,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,1,All,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,5,6,8,13
LSHTM,2,3,2021,18,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,1,All,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,5,6,8,13
LSHTM,2,3,2021,19,4,2021,East of England,hospital_inc,EpiNow,MTP,Cases,2.0,1,All,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,4,6,8,13.0499999999997
