Group,Creation Day,Creation Month,Creation Year,Day of Value,Month of Value,Year of Value,Geography,ValueType,Model,Scenario,ModelType,Version,Value,AgeBand,Quantile 0.05,Quantile 0.1,Quantile 0.15,Quantile 0.2,Quantile 0.25,Quantile 0.3,Quantile 0.35,Quantile 0.4,Quantile 0.45,Quantile 0.5,Quantile 0.55,Quantile 0.6,Quantile 0.65,Quantile 0.7,Quantile 0.75,Quantile 0.8,Quantile 0.85,Quantile 0.9,Quantile 0.95
LSHTM,25,1,2022,25,1,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,1063,All,978.9,993.9,1005,1017,1026.75,1034,1043,1050,1057.55,1063,1069,1077,1083,1091,1099,1107,1117.15,1132,1156.05
LSHTM,25,1,2022,26,1,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,1058,All,957,976,993,1004,1016,1026,1035,1043,1051,1058,1067,1075,1084,1092,1102,1112,1124,1143,1172.05
LSHTM,25,1,2022,27,1,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,1037.5,All,913,945.9,960.85,973,985.75,998.7,1009,1018.6,1028,1037.5,1047,1057,1067,1077,1088,1103,1119,1139.1,1168
LSHTM,25,1,2022,28,1,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,1003,All,865,901,919,935.6,950,961.7,972,984,994,1003,1010,1021,1032,1045.3,1056,1071,1088,1106.2,1136.05
LSHTM,25,1,2022,29,1,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,983,All,827.95,863,880,906,920,936,948,960,970,983,994,1007,1015,1029,1039,1057,1071,1095.1,1134
LSHTM,25,1,2022,30,1,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,963,All,794,831.9,859.7,876.8,894.75,910.7,926.65,938,949,963,977.45,991,1003.35,1017,1034.5,1049.2,1071,1097.1,1142.1
LSHTM,25,1,2022,31,1,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,953,All,759.95,804.9,829,852.8,877.75,893.7,910,924,939,953,966,981,995,1009,1027,1049,1069.3,1096,1143.1
LSHTM,25,1,2022,1,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,934,All,734,779.9,804.7,834,856,873.4,889,907,920,934,950.45,970,987,1002,1016,1045,1070.15,1109,1158
LSHTM,25,1,2022,2,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,926,All,703.95,758,791.85,818.8,839,853,875.65,894,908,926,943.45,964,984,1005,1023.25,1045.2,1068.3,1120,1186
LSHTM,25,1,2022,3,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,907.5,All,672.95,724.9,762,792.8,816.5,841,855.65,873,892,907.5,932,951,967,989,1013.25,1037,1069,1102.1,1197
LSHTM,25,1,2022,4,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,882,All,632.9,686.9,729,761,783,803.7,822.65,841,864,882,901,924,944,966,989,1015,1041,1081.1,1168
LSHTM,25,1,2022,5,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,861,All,599,659,702,727.8,754,776,798.65,818,840.55,861,882.45,903.4,922,945.3,966.25,999,1038,1082.1,1154.05
LSHTM,25,1,2022,6,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,848.5,All,566.65,623,674,707.8,734.75,759,785,803.6,822.55,848.5,870.45,889.4,912,934.3,966.25,997.2,1041.3,1084,1168
LSHTM,25,1,2022,7,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,837,All,544.85,603,653,683.8,712.75,737.7,761.65,792,814,837,860.45,886.4,912.35,937,961,989.8,1039.15,1101.1,1183.25
LSHTM,25,1,2022,8,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,829,All,506.9,577.9,626,660.8,695,723.7,746.65,770.6,800,829,849,875,899,925.3,959,995,1043.15,1097.4,1196.1
LSHTM,25,1,2022,9,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,817.5,All,485.9,557.9,609.85,649.8,681,703,731.65,761.6,787,817.5,842,865,898,922.3,944,988.2,1050.15,1114,1214.15
LSHTM,25,1,2022,10,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,805,All,454,535.9,587.7,617.4,654,682,703.65,747,780,805,831,859,883,909.3,942.25,973.2,1038,1119.1,1212.25
LSHTM,25,1,2022,11,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,769,All,415.85,503.9,552,591.6,625,651.7,682.65,711,742.1,769,800,830,855.7,883,916.25,958,1008.45,1104.1,1186.15
LSHTM,25,1,2022,12,2,2022,East of England,hospital_prev,EpiNow,MTP,Cases,2.0,755.5,All,387,470.7,525.55,563,599,628,659.65,694,722,755.5,781,807,837,867,898.25,945,998.15,1085.3,1199
