region,variable,mean,se_mean,sd,lower_95,lower_90,lower_80,lower_70,lower_60,lower_50,lower_40,lower_30,lower_20,lower_10,median,upper_10,upper_20,upper_30,upper_40,upper_50,upper_60,upper_70,upper_80,upper_90,upper_95
East of England,delay_mean[1],2.01332056113813,0.00195327783384564,0.125232318694684,1.77580296130505,1.80758781663439,1.85628446257102,1.88335833782722,1.91106516812769,1.92976525317504,1.94717704884545,1.96313276729494,1.97807877930788,1.99227937442105,2.00864091375119,2.02487246270446,2.04275254160375,2.06024285633149,2.0761661652764,2.09724490075832,2.11716351834693,2.14310599319021,2.17947237575016,2.22412256413057,2.2666367826617
East of England,delay_sd[1],1.10381202379474,0.00493469897145084,0.278114838517295,0.537939030205566,0.628788994544244,0.738787248541916,0.820208748138941,0.874276368219494,0.91846983861429,0.957182873691036,0.997660570338713,1.03487303951172,1.07418449052263,1.11123323144658,1.14524908153502,1.17956908832698,1.21816648322819,1.25691084546143,1.29631164743339,1.33973735165599,1.39286042093809,1.45393472004099,1.54858854067383,1.63656195255164
East of England,frac_obs[1],0.166080043064744,8.37444943097024e-05,0.0056163652790171,0.155428189056245,0.156968810117255,0.158827574180578,0.160116645466104,0.161272410694985,0.162231713369864,0.163128288839115,0.163957977336346,0.164720619223433,0.165432894505807,0.166115036781131,0.16684053181073,0.167573432622259,0.168247591259042,0.169048280783194,0.169895257995945,0.170879989426689,0.171952457514841,0.17322097482149,0.175228019606902,0.176899931416208
East of England,rep_phi[1],0.894430165323165,0.00773072769833541,0.497993860595773,0.181818812517825,0.240719840544543,0.330028880328879,0.403880506542382,0.469555276383284,0.529692469160256,0.583424549918562,0.638511118158438,0.694291243634268,0.755313920261608,0.815350864640238,0.872051033419616,0.931512436623236,1.00220453749038,1.08548070693494,1.17321771689027,1.26981645978761,1.39328185712931,1.56484933477537,1.85714069151435,2.11847727881414
England,delay_mean[1],2.0972169279804,0.000874533107414979,0.0593861643820474,1.97914814162986,1.99959933578636,2.02387101562216,2.03700234918168,2.0484963990231,2.05834337205235,2.06650243972295,2.07444247667589,2.08210594360429,2.089413157596,2.0961577063092,2.10406026252037,2.11169354845759,2.11963921793901,2.12822828768589,2.13651954046016,2.14575961901903,2.15737265956218,2.17295663587618,2.19543425917641,2.21592558608268
England,delay_sd[1],1.04256809046968,0.00240704475656862,0.166313148979226,0.723017031004639,0.765102694586473,0.829374599602784,0.871375518796154,0.900609376023136,0.932927074000918,0.956427630347346,0.979083125216205,1.0019699662324,1.02364512248793,1.04327235799112,1.06243434710471,1.08439532792428,1.10549355802502,1.12919665036311,1.15330881078873,1.1802908434407,1.2149600547077,1.25523880999274,1.3164029908817,1.37193185445681
England,frac_obs[1],0.151613511462548,5.28814894234605e-05,0.00380822989205315,0.144125399460168,0.145291219649174,0.146670986148205,0.147551829098094,0.14831716961599,0.148958705843614,0.149546679039168,0.150142825147747,0.150677953408572,0.151128918585544,0.151666461057302,0.152145147336186,0.152614911276759,0.153129726747757,0.153671672000304,0.154239592125229,0.154873091521014,0.155607255822831,0.156563192197134,0.157914022875272,0.158942196527441
England,rep_phi[1],0.578437422529198,0.00572322379774469,0.361227900529389,0.146951416903964,0.176197448184338,0.22250158639718,0.256049824559641,0.291095253369601,0.322740934625096,0.353100275908715,0.383312387076353,0.415054109366029,0.450525263186484,0.489473451706342,0.529659840082298,0.574919796285482,0.625863035910052,0.680249342789066,0.746194428495551,0.81823725916629,0.909276642945374,1.04630088975171,1.28359505938725,1.54130135311631
London,delay_mean[1],2.15121962265409,0.00212718462190531,0.134554131547848,1.89119969215328,1.92851111285307,1.97991653855656,2.01255497370403,2.03945944193112,2.06105979920681,2.08107832236351,2.09921479629579,2.11776568183201,2.13379500724873,2.15131772949758,2.16955145880921,2.18717923099555,2.20366935276183,2.22307833966814,2.24323590414686,2.26255394663613,2.28952907177127,2.32286212637485,2.37120148185302,2.41208094120114
London,delay_sd[1],1.20781027012391,0.00510717724273232,0.278944675821394,0.656039655854815,0.755962151296492,0.85665949519508,0.924703933009485,0.974013236555821,1.01933210839412,1.05442582178008,1.09116521690356,1.13088570111267,1.16659869069678,1.20545612820015,1.2400449764575,1.27586938994237,1.31494162835327,1.35645964697955,1.40161905770315,1.44698732453918,1.50433269317496,1.56658614697532,1.66380182394119,1.75490784642991
